,person,cant_device_computer,cant_device_smartphone,cant_device_tablet,cant_device_unknown
0,0008ed71,2.0,0.0,0.0,0.0
1,00091926,34.0,0.0,0.0,0.0
2,00091a7a,0.0,1.0,0.0,0.0
3,000ba417,6.0,0.0,0.0,0.0
4,000c79fe,0.0,1.0,0.0,0.0
5,000e4d9e,13.0,0.0,0.0,0.0
6,000e619d,5.0,0.0,0.0,0.0
7,001001be,0.0,3.0,0.0,0.0
8,0010e89a,1.0,0.0,0.0,0.0
9,0016c4b5,0.0,1.0,0.0,0.0
10,001802e4,0.0,1.0,0.0,0.0
11,001804a2,1.0,0.0,0.0,0.0
12,0019e639,19.0,0.0,0.0,0.0
13,001a2273,0.0,1.0,0.0,0.0
14,001ca5ee,0.0,15.0,0.0,0.0
15,001dfc31,0.0,4.0,0.0,0.0
16,001e9aea,0.0,7.0,0.0,0.0
17,0020152e,2.0,0.0,0.0,0.0
18,00202cdb,0.0,4.0,0.0,0.0
19,0022965d,27.0,0.0,0.0,0.0
20,0027574e,6.0,0.0,0.0,0.0
21,00295d74,1.0,0.0,0.0,0.0
22,002aea56,34.0,0.0,0.0,0.0
23,002b0188,2.0,0.0,0.0,0.0
24,002e74b2,1.0,0.0,0.0,0.0
25,002ed810,8.0,0.0,0.0,0.0
26,002fb981,0.0,8.0,0.0,0.0
27,00317e49,0.0,1.0,0.0,0.0
28,0031c75f,1.0,0.0,0.0,0.0
29,00344873,1.0,0.0,0.0,0.0
30,003476c0,0.0,4.0,0.0,0.0
31,003847fc,20.0,0.0,0.0,0.0
32,0038a117,50.0,0.0,0.0,0.0
33,003a05bf,0.0,12.0,0.0,0.0
34,003a7d49,0.0,3.0,0.0,0.0
35,003bdb4d,1.0,0.0,0.0,0.0
36,003d07ef,0.0,1.0,0.0,0.0
37,003d4cac,0.0,3.0,0.0,0.0
38,003dd965,1.0,0.0,0.0,0.0
39,003e7507,0.0,1.0,0.0,0.0
40,00408349,0.0,3.0,0.0,0.0
41,0041fec6,4.0,0.0,0.0,0.0
42,0042421c,2.0,0.0,0.0,0.0
43,0043a48e,0.0,5.0,0.0,0.0
44,004b8d91,0.0,3.0,0.0,0.0
45,004ed8ba,0.0,43.0,0.0,0.0
46,0050d971,0.0,3.0,0.0,0.0
47,00546e55,0.0,1.0,0.0,0.0
48,00546f4c,1.0,43.0,0.0,0.0
