person,cant_ev_ad_campaign_hit,cant_ev_brand_listing,cant_ev_checkout,cant_ev_conversion,cant_ev_generic_listing,cant_ev_lead,cant_ev_search_engine_hit,cant_ev_searched_products,cant_ev_staticpage,cant_ev_viewed_product,cant_ev_visited_site
0008ed71,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
00091926,15.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,34.0
00091a7a,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
000ba417,1.0,24.0,6.0,1.0,14.0,0.0,1.0,0.0,0.0,153.0,6.0
000c79fe,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,3.0,1.0
000e4d9e,19.0,17.0,1.0,0.0,17.0,0.0,5.0,0.0,0.0,339.0,13.0
000e619d,6.0,11.0,1.0,0.0,8.0,0.0,3.0,6.0,0.0,28.0,5.0
001001be,0.0,0.0,3.0,1.0,3.0,0.0,0.0,17.0,0.0,41.0,3.0
0010e89a,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0016c4b5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
001802e4,5.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,1.0
001804a2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0019e639,29.0,165.0,15.0,2.0,28.0,0.0,13.0,11.0,0.0,189.0,19.0
001a2273,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0
001b0bf9,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
001ca5ee,7.0,7.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,52.0,15.0
001dfc31,5.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,18.0,4.0
001e9aea,13.0,4.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,7.0
0020152e,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
00202cdb,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0
0022965d,48.0,0.0,8.0,0.0,48.0,0.0,43.0,0.0,0.0,15.0,27.0
0027574e,0.0,40.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,102.0,6.0
00295d74,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
002aea56,14.0,30.0,11.0,4.0,26.0,0.0,2.0,1.0,0.0,161.0,34.0
002b0188,2.0,17.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,2.0
002e74b2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0
002ed810,0.0,6.0,2.0,2.0,8.0,0.0,5.0,2.0,2.0,22.0,8.0
002fb981,6.0,1.0,1.0,0.0,5.0,0.0,7.0,2.0,0.0,20.0,8.0
00317e49,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0
0031c75f,0.0,11.0,2.0,0.0,4.0,0.0,2.0,10.0,0.0,26.0,1.0
00344873,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0
003476c0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,19.0,0.0,6.0,4.0
003847fc,23.0,16.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,32.0,20.0
0038a117,9.0,67.0,4.0,1.0,49.0,0.0,9.0,11.0,12.0,68.0,50.0
