person,Frecuencia
0008ed71,Nunca
00091926,Nunca
000ba417,Casi nunca
000c79fe,Nunca
000e4d9e,Nunca
000e619d,Nunca
001001be,Esporadico
0010e89a,Nunca
0016c4b5,Nunca
001802e4,Nunca
001804a2,Esporadico
0019e639,Casi nunca
001a2273,Nunca
001b0bf9,Esporadico
001ca5ee,Nunca
001e9aea,Nunca
0020152e,Esporadico
00202cdb,Nunca
0022965d,Nunca
0027574e,Nunca
00295d74,Nunca
002aea56,Esporadico
002b0188,Nunca
002e74b2,Nunca
002ed810,Frecuente
002fb981,Nunca
00317e49,Nunca
0031c75f,Nunca
00344873,Nunca
003847fc,Nunca
0038a117,Esporadico
003a05bf,Nunca
003a7d49,Nunca
003bdb4d,Nunca
003d4cac,Nunca
003e7507,Nunca
00408349,Nunca
0041fec6,Nunca
0043a48e,Frecuente
004b8d91,Nunca
004ed8ba,Casi nunca
0050d971,Nunca
00546e55,Nunca
00546f4c,Esporadico
00556ee5,Nunca
005af223,Nunca
005e06ef,Nunca
006549da,Nunca
00665dda,Nunca
006bb312,Nunca
006cabc5,Nunca
006e1534,Nunca
006fc943,Nunca
00702e02,Nunca
00736d10,Nunca
00750af8,Esporadico
007537e8,Nunca
00754f5e,Nunca
0076b7dc,Frecuente
007743ca,Nunca
007a0564,Nunca
007ddac1,Nunca
0081cd73,Nunca
0081f590,Nunca
008287e4,Nunca
0083c22c,Nunca
00868d8e,Nunca
0086ee61,Nunca
008a6d00,Nunca
008b4a48,Nunca
008bb884,Nunca
008f739f,Nunca
00970caa,Nunca
00971729,Casi nunca
009944e1,Frecuente
009a5ed5,Nunca
009cbfb2,Nunca
009d27e8,Nunca
009f8292,Frecuente
00a2efc2,Nunca
00a58494,Nunca
00af50bb,Nunca
00b0fe02,Nunca
00b2b269,Nunca
00b5303d,Nunca
00b6642b,Nunca
00b8bba9,Nunca
00b9f49d,Nunca
00bc3bed,Nunca
00beac49,Nunca
00c2307c,Nunca
00c2f60d,Nunca
00c40a4b,Nunca
00c955ce,Nunca
00c9a4eb,Nunca
00ca06d3,Nunca
00caa482,Frecuente
00cd1373,Esporadico
00cde0db,Nunca
00d21f5e,Nunca
00d618ba,Nunca
00d8d869,Nunca
00dabbf1,Nunca
00dcc618,Nunca
00e0e219,Nunca
00e2e06b,Nunca
00e3c94f,Nunca
00e6a700,Nunca
00ea5497,Nunca
00ecfd1a,Casi nunca
00f369ef,Nunca
00f4620f,Nunca
00f49191,Nunca
00fa4cd7,Frecuente
00fd99c6,Nunca
00ff2c51,Nunca
010200b5,Nunca
01022bf3,Nunca
010358c1,Nunca
01039bf1,Frecuente
01067e00,Nunca
0107bdfc,Nunca
01083011,Nunca
01094049,Nunca
010b0b0b,Esporadico
010dce63,Nunca
010f9396,Nunca
01102549,Nunca
011120d7,Nunca
01118279,Nunca
0111d9af,Nunca
01126aa4,Nunca
01127f1d,Nunca
01183209,Nunca
011beb42,Esporadico
011d982c,Nunca
011e43e5,Nunca
011fbf97,Nunca
011fef85,Nunca
0121c41e,Nunca
0126d440,Nunca
0127932b,Nunca
0129072b,Nunca
012af91b,Nunca
012b81de,Nunca
012cd55c,Nunca
013136c4,Nunca
013288eb,Nunca
0132a515,Nunca
0137a57b,Frecuente
01395e75,Nunca
013dc935,Nunca
013e1cd0,Nunca
013ef20d,Nunca
013fce70,Nunca
0143d796,Nunca
0145565a,Nunca
0146d5e8,Nunca
0146ecbc,Nunca
014853d4,Nunca
0148562c,Nunca
01488a35,Nunca
014bca6c,Nunca
015dfe12,Nunca
015eb48a,Nunca
015f1a84,Nunca
015fb139,Nunca
01605eaa,Nunca
0163bf88,Esporadico
016419e1,Nunca
0165d283,Nunca
0165db0d,Nunca
01692bd2,Nunca
01696aab,Nunca
016a78e4,Casi nunca
016b86b9,Frecuente
016f3833,Esporadico
016f7879,Nunca
01716e05,Nunca
0173b599,Nunca
0178b595,Nunca
