person,Cantidad_De_Campaña
00091926,15
00091a7a,1
000ba417,1
000c79fe,1
000e4d9e,19
000e619d,6
0010e89a,1
0016c4b5,1
001802e4,5
0019e639,29
001a2273,4
001ca5ee,7
001dfc31,5
001e9aea,13
0020152e,2
00202cdb,10
0022965d,48
00295d74,4
002aea56,14
002b0188,2
002fb981,6
00317e49,2
00344873,1
003476c0,6
003847fc,23
0038a117,9
003a7d49,1
003d4cac,2
003e7507,1
00408349,6
0041fec6,1
0042421c,1
0043a48e,3
004ed8ba,38
0050d971,4
00546e55,3
00546f4c,24
00556ee5,6
0059a996,1
005af223,18
0061cbe8,1
006549da,3
00665dda,4
006cabc5,1
006e1534,4
006fc943,49
00702e02,6
00736d10,5
00750af8,5
007537e8,3
00754f5e,4
0076b7dc,10
007743ca,3
007a0564,1
007ddac1,3
0081cd73,1
0081f590,1
008287e4,4
0083c22c,3
00868d8e,1
0087d959,3
0089421c,3
008a6d00,1
008bb884,2
008f480f,1
008f739f,12
009648f0,1
00970caa,4
00971729,3
009944e1,11
009a5ed5,1
009cbfb2,5
009d27e8,4
00a2efc2,4
00a58494,4
00a91f61,3
00af50bb,7
00afd018,1
00b0fe02,2
00b1b9d0,16
00b2b269,5
00b5303d,3
00b8bba9,3
00b9f49d,1
00bc3bed,9
00beac49,1
00c40a4b,2
00c955ce,25
00c9a4eb,1
00ca06d3,1
00caa482,44
00cd1373,3
00cde0db,1
00d4b0c1,3
00d618ba,10
00dcc618,1
00e0e219,3
00e2e06b,8
00e6a700,2
00ea5497,4
00ecfd1a,3
00f1575c,1
00f369ef,3
00f4620f,4
00f49191,11
00f5c8be,1
00fa4cd7,7
00fd99c6,6
00ff2c51,8
010200b5,2
01022bf3,6
010358c1,1
01039bf1,2
01067e00,2
010750dc,1
0107bdfc,9
01083011,1
01094049,1
010b0b0b,10
010dce63,4
010f9396,4
01102549,1
011120d7,1
0111d9af,2
01126aa4,1
01183209,2
011beb42,44
011d982c,3
011e43e5,2
011fbf97,13
0121c41e,4
0126d440,1
0127932b,8
0129072b,2
012af91b,3
012b81de,3
012d8fd8,21
013136c4,2
01319a6d,11
013288eb,4
0137a57b,3
01395e75,2
013a0e3a,8
013e1cd0,7
013ef20d,3
013fce70,2
0143d796,1
014412d6,4
0144bd58,7
0146d5e8,3
0146ecbc,2
01477f15,4
014853d4,22
01488a35,3
014bca6c,1
015d002b,1
015dfe12,1
015eb48a,2
015f1a84,2
015fb139,2
01638753,5
0163bf88,9
016419e1,5
0165b04a,1
0165d283,2
0165db0d,15
01692bd2,1
01696aab,3
016a78e4,30
016b86b9,74
016d0c8f,3
016efcb7,18
016f3833,4
016f7879,2
01716e05,9
0173b599,2
0178b595,5
01798556,12
017a84d1,6
017a9049,1
017d35dc,3
017fd805,6
01855dab,1
018598e8,8
018774cf,5
018954fd,11
018adf26,2
018c1154,9
0190f87d,7
01914d78,14
019425a8,6
0195ed3b,1
01984bc3,5
019ac712,1
019c24ae,5
019c7c78,2
01a20e81,5
01a46372,2
01a5aa29,1
01ac5844,3
01ada784,5
01add051,1
01af6573,25
01b08442,2
01b09758,16
01b12d02,1
01b79980,1
01b860b1,5
01b91332,3
01b97cb9,1
01be1d14,1
01c0bf0e,3
01c407bd,3
01c631cf,1
01c862be,1
01c8b35d,1
01c9f8d2,1
01cbe6b3,1
01cd8ca8,3
01d18619,2
01d28bce,2
01e18191,1
01e2b6b0,18
01e32ed0,3
01e5ebc1,6
01ed2afc,1
01edff26,1
01f061eb,6
01f12f08,3
01f24fc9,22
01f38aae,2
01f68b1f,1
01f8fa5b,1
01fe7232,1
01fee5bd,3
01ffa003,3
01ffc611,1
02005e21,2
0202e763,11
0204dcec,3
0205d5c1,6
020b50dc,11
020ca6bf,2
02103564,50
0211b4be,1
0211eed9,27
021e1312,1
021f11c8,2
02208eb6,3
0222570f,17
022260de,2
0222a169,4
02238440,1
0224b8b0,1
0225aa7c,2
0225de65,4
0227ae9b,2
02285678,2
0228b475,6
0228c93a,1
02298b4a,6
022b69a7,30
022c05dd,3
022c083c,4
022ca64b,64
023039b3,2
023215f7,3
0233c7ed,1
0234045a,3
0234e8f5,1
0234f3d7,4
023e49e4,5
023fafbb,1
02417ee2,3
0244969f,3
02452978,2
0246242b,4
0247c9fc,2
02481958,3
024b9c24,8
0256b30a,4
0256c879,2
0256dfc5,1
025e1ccc,3
02648ca1,1
02694196,4
026b4007,1
026b66ef,1
0270a59f,21
027870af,15
0279a6c7,2
027b809f,3
027cb5c9,2
027e9637,2
0280a93d,1
02875920,3
0287661f,23
02878a11,4
028d0864,1
028ed1ae,4
028f05c4,3
02973cb9,2
0297fc1e,29
029889eb,19
029a5c8b,1
029e5749,9
02a11379,3
02a14ee3,2
02a6d3ac,1
02a6da92,30
02a72984,12
02a88a33,2
02aa734f,2
02aa83c1,2
02aaf943,3
02ac4fca,3
02b02d37,2
02b0cd5c,1
02b10e44,2
02b13444,3
02b51109,2
02ba6bb6,1
02bda531,11
02bf0143,5
02c2eb63,2
02c30caa,5
02c3960c,2
02c73278,2
02c9e5c7,1
02c9f7a6,2
02cec30a,2
02d1f846,1
02d80cb2,27
02d93f65,3
02dbbcba,3
02dd38ce,13
02de19f7,2
02e0a3c2,2
02e1a150,2
02e465f4,9
02e59a44,2
02e5a11c,3
02e72974,2
02e7d329,2
02ea26c5,2
02eb0a9e,4
02ec2f23,1
02ecd2d2,2
02eefc32,7
02f01ea9,1
02f0635f,5
02f14240,523
02f578dc,1
02f5c581,1
02f792fc,7
02f82b20,1
02fb0b61,2
02fb0bea,3
02fb1a77,3
02fc0bf8,12
02fe14e6,7
02ff33f4,1
030071f1,5
03042e4a,3
03066c47,1
030712a0,2
0307f75d,19
030c5d84,1
030c803c,1
03100f48,15
0310a8cd,2
0311c318,6
0318fd8d,3
031bee81,4
031e80e3,3
031ee7cc,9
031fcae5,1
0321ecd6,5
0328af6d,4
032a13f5,3
032eb0b8,2
032ecde2,1
032fb2c8,1
03302054,1
0332afbe,1
0337d5ce,3
03413393,2
0341c285,3
03421604,5
03439225,44
03490d00,2
034ab8b8,3
034aee83,1
034ec132,5
034fbc8a,2
0352d9b3,1
03533e4f,7
0353af22,50
035626f1,4
0357a791,2
035c9c3c,7
035ff4f3,17
03630617,2
03631044,1
036647bb,3
0366a065,3
036cdf5a,2
03739332,1
03754d73,7
03759a7b,2
0378916d,2
037a2f9e,3
037b36f8,9
037f094d,1
0382adc4,31
03836d05,1
03841432,5
0384b2bd,1
0384dbbf,1
038d2328,10
038e3cd5,1
0391da64,2
0393253c,6
03978515,10
039a1fa7,1
039c02c5,3
039ccd71,11
