person,Frecuencia_Casi_nunca,Frecuencia_Esporadico,Frecuencia_Frecuente,Frecuencia_Nunca
0008ed71,0,0,0,1
00091926,0,0,0,1
00091a7a,0,0,0,1
000ba417,1,0,0,0
000c79fe,0,0,0,1
000e4d9e,0,0,0,1
000e619d,0,0,0,1
001001be,0,1,0,0
0010e89a,0,0,0,1
0016c4b5,0,0,0,1
001802e4,0,0,0,1
001804a2,0,1,0,0
0019e639,1,0,0,0
001a2273,0,0,0,1
001b0bf9,0,1,0,0
001ca5ee,0,0,0,1
001dfc31,0,0,0,1
001e9aea,0,0,0,1
0020152e,0,1,0,0
00202cdb,0,0,0,1
0022965d,0,0,0,1
0027574e,0,0,0,1
00295d74,0,0,0,1
002aea56,0,1,0,0
002b0188,0,0,0,1
002e74b2,0,0,0,1
002ed810,0,0,1,0
002fb981,0,0,0,1
00317e49,0,0,0,1
0031c75f,0,0,0,1
00344873,0,0,0,1
003476c0,0,0,0,1
003847fc,0,0,0,1
0038a117,0,1,0,0
003a05bf,0,0,0,1
003a7d49,0,0,0,1
003bdb4d,0,0,0,1
003d07ef,0,0,0,1
003d4cac,0,0,0,1
003dd965,0,0,0,1
003e7507,0,0,0,1
00408349,0,0,0,1
0041fec6,0,0,0,1
0042421c,0,0,0,1
0043a48e,0,0,1,0
004b8d91,0,0,0,1
004ed8ba,1,0,0,0
0050d971,0,0,0,1
00546e55,0,0,0,1
00546f4c,0,1,0,0
00556ee5,0,0,0,1
0059a996,0,0,0,1
005af223,0,0,0,1
005e06ef,0,0,0,1
0061cbe8,0,0,0,1
006549da,0,0,0,1
00665dda,0,0,0,1
006671fd,0,0,0,1
006bb312,0,0,0,1
006cabc5,0,0,0,1
006e1534,0,0,0,1
006fc943,0,0,0,1
00702e02,0,0,0,1
00736d10,0,0,0,1
00750af8,0,1,0,0
007537e8,0,0,0,1
00754f5e,0,0,0,1
0076b7dc,0,0,1,0
007743ca,0,0,0,1
007a0564,0,0,0,1
007ddac1,0,0,0,1
0081cd73,0,0,0,1
0081f590,0,0,0,1
008287e4,0,0,0,1
0083c22c,0,0,0,1
00868d8e,0,0,0,1
0086ee61,0,0,0,1
0087d959,0,0,0,1
0089421c,0,0,0,1
008a6d00,0,0,0,1
008b4a48,0,0,0,1
008bb884,0,0,0,1
008f480f,0,0,0,1
008f739f,0,0,0,1
009648f0,0,0,0,1
00970caa,0,0,0,1
00971729,1,0,0,0
009944e1,0,0,1,0
009a5ed5,0,0,0,1
009cbfb2,0,0,0,1
009d27e8,0,0,0,1
009f8292,0,0,1,0
00a2efc2,0,0,0,1
00a58494,0,0,0,1
00a91f61,0,0,0,1
00af50bb,0,0,0,1
00afd018,0,0,0,1
00b0fe02,0,0,0,1
00b1b9d0,0,0,0,1
00b2b269,0,0,0,1
00b5303d,0,0,0,1
00b6642b,0,0,0,1
00b8bba9,0,0,0,1
00b9f49d,0,0,0,1
00bc3bed,0,0,0,1
00beac49,0,0,0,1
00c2307c,0,0,0,1
00c2f60d,0,0,0,1
00c40a4b,0,0,0,1
00c955ce,0,0,0,1
00c9a4eb,0,0,0,1
00ca06d3,0,0,0,1
00caa482,0,0,1,0
00cd1373,0,1,0,0
00cde0db,0,0,0,1
00d21f5e,0,0,0,1
00d4b0c1,0,0,0,1
00d618ba,0,0,0,1
00d8d869,0,0,0,1
00dabbf1,0,0,0,1
00dcc618,0,0,0,1
00e0e219,0,0,0,1
00e2e06b,0,0,0,1
00e3c94f,0,0,0,1
00e6a700,0,0,0,1
00ea5497,0,0,0,1
00ecfd1a,1,0,0,0
00f1575c,0,0,0,1
00f369ef,0,0,0,1
00f4620f,0,0,0,1
00f49191,0,0,0,1
00f5c8be,0,0,0,1
00fa4cd7,0,0,1,0
00fd99c6,0,0,0,1
00ff2c51,0,0,0,1
010200b5,0,0,0,1
01022bf3,0,0,0,1
010358c1,0,0,0,1
01039bf1,0,0,1,0
01067e00,0,0,0,1
010750dc,0,0,0,1
0107bdfc,0,0,0,1
01083011,0,0,0,1
01094049,0,0,0,1
010b0b0b,0,1,0,0
010dce63,0,0,0,1
010f9396,0,0,0,1
01102549,0,0,0,1
011120d7,0,0,0,1
01118279,0,0,0,1
0111d9af,0,0,0,1
01126aa4,0,0,0,1
01127f1d,0,0,0,1
01183209,0,0,0,1
011beb42,0,1,0,0
011d982c,0,0,0,1
011e43e5,0,0,0,1
011fbf97,0,0,0,1
011fef85,0,0,0,1
0121c41e,0,0,0,1
0126d440,0,0,0,1
0127932b,0,0,0,1
0129072b,0,0,0,1
012af91b,0,0,0,1
012b81de,0,0,0,1
012cd55c,0,0,0,1
012d8fd8,0,0,0,1
013136c4,0,0,0,1
01319a6d,0,0,0,1
013288eb,0,0,0,1
0132a515,0,0,0,1
0137a57b,0,0,1,0
01395e75,0,0,0,1
013a0e3a,0,0,0,1
013dc935,0,0,0,1
013e1cd0,0,0,0,1
013ef20d,0,0,0,1
013fce70,0,0,0,1
0143d796,0,0,0,1
014412d6,0,0,0,1
0144bd58,0,0,0,1
0145565a,0,0,0,1
0146d5e8,0,0,0,1
0146ecbc,0,0,0,1
01477f15,0,0,0,1
014853d4,0,0,0,1
0148562c,0,0,0,1
01488a35,0,0,0,1
014bca6c,0,0,0,1
015d002b,0,0,0,1
015dfe12,0,0,0,1
015eb48a,0,0,0,1
015f1a84,0,0,0,1
015fb139,0,0,0,1
01605eaa,0,0,0,1
01638753,0,0,0,1
0163bf88,0,1,0,0
016419e1,0,0,0,1
0165b04a,0,0,0,1
0165d283,0,0,0,1
0165db0d,0,0,0,1
01692bd2,0,0,0,1
01696aab,0,0,0,1
016a78e4,1,0,0,0
016b86b9,0,0,1,0
016d0c8f,0,0,0,1
016efcb7,0,0,0,1
016f3833,0,1,0,0
016f7879,0,0,0,1
01716e05,0,0,0,1
0172d307,0,0,0,1
0173b599,0,0,0,1
0178b595,0,0,0,1
01798556,0,0,0,1
017a84d1,0,0,0,1
017a9049,0,0,0,1
017d35dc,0,0,0,1
017fd805,0,0,1,0
01855dab,0,0,0,1
018598e8,0,1,0,0
018774cf,0,0,0,1
018954fd,0,0,0,1
018adf26,0,0,0,1
018c1154,0,0,0,1
0190f87d,0,0,0,1
01914d78,0,0,0,1
019425a8,0,0,0,1
0195ed3b,0,0,0,1
0196054a,0,0,0,1
01984bc3,0,0,0,1
019ac712,0,0,0,1
019c24ae,0,0,0,1
019c7c78,0,0,0,1
01a20e81,0,0,0,1
01a46372,0,0,1,0
01a5aa29,0,0,0,1
01ab5296,0,0,0,1
01ac5844,0,0,0,1
01ad4042,0,0,0,1
01ada784,0,1,0,0
01add051,0,0,0,1
01af6573,0,0,0,1
01b08442,0,0,0,1
01b09758,0,1,0,0
01b12d02,0,0,0,1
01b47d4f,0,0,0,1
01b65cfa,0,0,0,1
01b79980,0,0,0,1
01b860b1,0,0,0,1
01b91332,0,0,0,1
01b97cb9,0,1,0,0
01be1d14,0,0,0,1
01c0bf0e,0,0,0,1
01c3addd,0,0,0,1
01c407bd,0,0,0,1
01c6281f,0,0,0,1
01c631cf,0,0,0,1
01c862be,0,0,0,1
01c8b35d,0,0,0,1
01c9f8d2,0,0,1,0
01caf5bf,0,0,0,1
01cbe6b3,0,0,0,1
01cd8ca8,0,0,0,1
01cf1230,0,0,0,1
01d18619,0,0,0,1
01d28bce,0,0,0,1
01d8711d,0,0,0,1
01dfb178,0,0,0,1
01e18191,0,0,0,1
01e2b6b0,0,0,0,1
01e32ed0,0,0,0,1
01e5ebc1,0,0,0,1
01ed2afc,0,0,0,1
01edff26,0,0,0,1
01f061eb,0,0,0,1
01f12f08,0,0,0,1
01f20b0a,0,0,0,1
01f2283b,0,0,0,1
01f24fc9,0,0,0,1
01f38aae,0,0,1,0
01f68b1f,0,0,0,1
01f8fa5b,0,0,0,1
01fcd7ca,0,0,0,1
01fe7232,0,0,0,1
01fee5bd,0,0,0,1
01ffa003,0,0,0,1
01ffc611,0,0,0,1
02005e21,0,0,1,0
0202e763,0,0,0,1
0204dcec,0,0,0,1
0205d5c1,0,0,0,1
020b50dc,0,0,0,1
020ca6bf,0,0,0,1
02103564,0,0,0,1
0211b4be,0,0,0,1
0211eed9,1,0,0,0
021b35b5,0,0,0,1
021e1312,0,0,0,1
021ececb,0,0,0,1
021f11c8,0,0,0,1
02208eb6,0,0,0,1
0222570f,0,0,0,1
022260de,0,0,0,1
0222a169,0,0,0,1
02238440,0,0,0,1
0224b8b0,0,0,0,1
0225aa7c,0,0,0,1
0225de65,0,0,0,1
02274195,0,0,0,1
0227ae9b,0,0,0,1
02285678,0,0,0,1
0228b475,0,0,0,1
0228c93a,0,0,0,1
02298b4a,0,0,0,1
022b69a7,0,0,0,1
022bd951,0,0,0,1
022c05dd,0,0,0,1
022c083c,0,0,0,1
022ca64b,0,0,0,1
023039b3,0,0,0,1
023215f7,0,0,0,1
0233c7ed,0,1,0,0
0234045a,0,0,0,1
0234e8f5,0,0,0,1
0234f3d7,0,0,0,1
023581f9,0,0,0,1
0235896a,0,0,0,1
02363ce4,0,0,0,1
023e49e4,0,0,0,1
023fafbb,0,0,0,1
02417ee2,0,1,0,0
0244969f,0,0,0,1
02452978,0,0,0,1
0246242b,0,0,0,1
0247c9fc,0,0,0,1
024803ab,0,0,0,1
02481958,0,0,0,1
02496e75,0,0,0,1
024b9c24,0,0,0,1
024ceac4,0,0,0,1
024ffb9b,0,0,0,1
0256b30a,0,0,0,1
0256c879,0,0,0,1
0256dfc5,0,0,0,1
025e1ccc,0,0,0,1
02603929,0,0,0,1
02633ebf,0,0,0,1
02648ca1,0,0,0,1
02694196,0,0,0,1
026b4007,0,0,0,1
026b66ef,0,0,0,1
0270a59f,0,0,0,1
027870af,0,1,0,0
0279a6c7,0,0,0,1
027b809f,0,0,1,0
027cb5c9,0,0,0,1
027e9637,0,0,0,1
