person,marca_favorita_apple,marca_favorita_asus,marca_favorita_lenovo,marca_favorita_lg,marca_favorita_motorola,marca_favorita_no tiene,marca_favorita_quantum,marca_favorita_samsung,marca_favorita_sony,nivel_de_actividad_Muy Bajo,nivel_de_actividad_Bajo,nivel_de_actividad_Medio,nivel_de_actividad_Alto,nivel_de_actividad_Muy Alto,dias_en_plataforma,dias_distintos_con_eventos,eventos_totales_generados
0008ed71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.16724537037037038,1,6
00091926,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27.90525462962963,22,448
00091a7a,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.004016203703703704,1,10
000ba417,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.081678240740741,3,206
000c79fe,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.007175925925925926,1,17
000e4d9e,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14.243368055555555,9,411
000e619d,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.9204861111111113,4,68
001001be,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.755185185185186,3,68
0010e89a,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0004976851851851852,1,4
0016c4b5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.3148148148148147e-05,1,4
001802e4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.007476851851851852,1,19
001804a2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7598611111111113,2,4
0019e639,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114.32635416666666,14,471
001a2273,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.010127314814814815,1,16
001b0bf9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.010625,1,7
001ca5ee,1,0,0,0,0,0,0,0,0,0,0,1,0,0,79.50149305555556,11,96
001dfc31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,102.68832175925925,4,35
001e9aea,1,0,0,0,0,0,0,0,0,1,0,0,0,0,67.87913194444444,6,54
0020152e,0,0,0,0,0,0,0,1,0,1,0,0,0,0,23.444780092592595,2,9
00202cdb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8368287037037037,2,30
0022965d,0,0,0,0,0,0,0,1,0,0,0,0,1,0,99.11108796296297,17,189
0027574e,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.22267361111111,5,156
00295d74,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.009641203703703704,1,18
002aea56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,111.28916666666667,20,283
002b0188,0,0,0,0,0,0,0,1,0,1,0,0,0,0,62.17526620370371,2,38
002e74b2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.001990740740740741,1,8
002ed810,0,0,0,0,0,0,0,1,0,0,1,0,0,0,39.757974537037036,4,57
002fb981,1,0,0,0,0,0,0,0,0,1,0,0,0,0,95.67172453703705,6,50
00317e49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0026967592592592594,1,13
0031c75f,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.023761574074074074,1,56
00344873,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.002349537037037037,1,11
003476c0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,88.40526620370372,4,43
003847fc,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13.829930555555556,5,102
0038a117,0,0,0,0,0,0,0,1,0,0,0,0,1,0,133.95533564814815,21,280
003a05bf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17.798310185185183,7,87
003a7d49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2399189814814813,2,15
003bdb4d,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0013078703703703703,1,5
003d07ef,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.1574074074074073e-05,1,3
003d4cac,1,0,0,0,0,0,0,0,0,1,0,0,0,0,33.84886574074074,3,8
003e7507,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.001875,1,12
00408349,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18.939756944444444,3,18
0041fec6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.120115740740741,4,48
0042421c,1,0,0,0,0,0,0,0,0,1,0,0,0,0,39.27511574074074,2,22
0043a48e,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.1421064814814814,4,34
004b8d91,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.984733796296297,4,37
004ed8ba,0,0,0,0,0,0,0,1,0,0,0,0,0,1,86.76524305555557,25,228
0050d971,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9.168587962962963,3,12
00546e55,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.020196759259259258,1,15
