,person,has_converted_before,most_viewed_sku,most_viewed_color_Preto,most_viewed_color_Branco,most_viewed_color_Dourado,region_brasil_Sao Paulo,region_brasil_Unknown,region_brasil_Minas Gerais
0,000ba417,1.0,2988.0,1,0,0,1,0,0
1,001001be,1.0,290.0,0,0,1,1,0,0
2,001804a2,1.0,2831.0,0,0,1,0,1,0
3,0019e639,1.0,2750.0,1,0,0,1,0,0
4,001b0bf9,1.0,12788.0,0,0,0,0,0,0
5,0020152e,1.0,7251.0,0,0,1,0,0,0
6,002aea56,1.0,8233.0,0,0,0,0,0,0
7,002ed810,1.0,8443.0,1,0,0,0,0,0
8,0038a117,1.0,13613.0,1,0,0,0,1,0
9,0043a48e,1.0,3288.0,1,0,0,0,1,0
10,004ed8ba,1.0,12282.0,1,0,0,0,1,0
11,00546f4c,1.0,8287.0,0,0,1,0,0,0
12,00750af8,1.0,8441.0,1,0,0,0,0,1
13,0076b7dc,1.0,8261.0,0,0,0,0,0,0
14,00971729,1.0,10351.0,1,0,0,1,0,0
15,009944e1,1.0,10366.0,1,0,0,1,0,0
16,009f8292,1.0,283.0,0,0,0,0,1,0
17,00caa482,1.0,122.0,1,0,0,0,0,1
18,00cd1373,1.0,178.0,0,1,0,0,0,0
19,00ecfd1a,1.0,9287.0,0,0,1,0,0,0
20,00fa4cd7,1.0,8499.0,0,0,0,0,0,0
21,01039bf1,1.0,9272.0,1,0,0,0,1,0
22,010b0b0b,1.0,7658.0,0,0,1,0,0,0
23,011beb42,1.0,7001.0,0,0,0,1,0,0
24,0137a57b,1.0,9903.0,0,0,0,0,0,0
25,0163bf88,1.0,7239.0,1,0,0,0,0,1
26,016a78e4,1.0,2709.0,1,0,0,0,0,1
27,016b86b9,1.0,2750.0,1,0,0,1,0,0
28,016f3833,1.0,1061.0,0,1,0,0,0,0
29,017fd805,1.0,2695.0,0,0,1,1,0,0
30,018598e8,1.0,6663.0,0,1,0,0,0,1
31,01a46372,1.0,3204.0,0,0,1,0,0,0
32,01ada784,1.0,2810.0,1,0,0,0,0,0
33,01b09758,1.0,6328.0,1,0,0,0,0,0
34,01b97cb9,1.0,3372.0,0,0,1,0,0,0
