,person,cantidad_checkouts,cantidad_conversions,tasa_cc,cantidad_lead,cantidad_searchs,month_moda,favorite_device_Computer,favorite_device_Smartphone,favorite_device_Tablet,favorite_device_Unknown
0,4886f805,1.0,,,,1.0,5,0,1,0,0
1,ad93850f,1.0,,,,,5,0,1,0,0
2,0297fc1e,7.0,,,1.0,6.0,5,0,1,0,0
3,2d681dd8,1.0,,,,1.0,5,1,0,0,0
4,cccea85e,1.0,,,,1.0,5,1,0,0,0
5,4c8a8b93,2.0,,,,9.0,5,0,1,0,0
6,1b9f7cf6,1.0,,,,8.0,5,0,1,0,0
7,29ebb414,1.0,,,,11.0,5,0,1,0,0
8,de8fe91b,1.0,,,,13.0,5,1,0,0,0
9,45baf068,1.0,,,,,5,0,1,0,0
10,99abca5a,18.0,2.0,0.1111111111111111,1.0,5.0,4,1,0,0,0
11,3dc1950f,3.0,,,,2.0,4,1,0,0,0
12,8ea4c165,3.0,,,,17.0,5,1,0,0,0
13,64f45e8d,2.0,,,,1.0,5,1,0,0,0
14,d8cfe234,3.0,1.0,0.3333333333333333,,8.0,5,1,0,0,0
15,ade6b3bf,1.0,,,,5.0,5,0,1,0,0
16,d73ae9ef,1.0,,,,,5,0,1,0,0
17,d6bc64df,2.0,,,,19.0,4,0,1,0,0
18,ec9c4059,2.0,1.0,0.5,,9.0,5,0,1,0,0
19,b2cde41a,1.0,,,,,5,1,0,0,0
20,15ea8012,4.0,5.0,1.25,,6.0,5,0,1,0,0
21,43790d8f,2.0,,,,,5,0,1,0,0
22,d21b8e6b,2.0,,,,3.0,5,0,0,0,0
23,2a724d87,1.0,,,,,5,1,0,0,0
24,429c8732,3.0,,,,12.0,5,1,0,0,0
25,686c49c9,,,,,,5,0,1,0,0
26,4e03ed9a,1.0,,,,,5,0,1,0,0
27,a08d42ea,1.0,1.0,1.0,,,5,1,0,0,0
28,16fad36a,7.0,,,,,3,1,0,0,0
29,be32e904,2.0,,,,9.0,5,0,1,0,0
30,6e6770c3,2.0,,,,,5,1,0,0,0
31,9bb3af27,,,,,12.0,5,0,1,0,0
32,c98f5cf1,4.0,1.0,0.25,,36.0,5,0,1,0,0
33,ba3e8a89,4.0,1.0,0.25,,,5,1,0,0,0
34,d614c608,1.0,,,,,5,0,1,0,0
35,2e225ac4,5.0,,,,,5,0,1,0,0
36,fc278339,4.0,1.0,0.25,,,4,1,0,0,0
37,e45acd53,12.0,3.0,0.25,,11.0,5,1,0,0,0
38,7d876393,3.0,,,,9.0,5,1,0,0,0
39,f5af843f,3.0,,,,43.0,5,0,1,0,0
40,8f1679ff,2.0,1.0,0.5,,13.0,5,0,1,0,0
41,5a724794,1.0,,,,12.0,5,0,1,0,0
42,c31d0174,2.0,,,1.0,36.0,5,0,1,0,0
43,584f5175,27.0,3.0,0.1111111111111111,,58.0,5,0,1,0,0
44,00091926,2.0,,,,,5,1,0,0,0
45,911a21cb,,,,,4.0,5,0,1,0,0
46,16d0e27d,1.0,,,,6.0,5,1,0,0,0
47,55d1e0ee,2.0,2.0,1.0,,7.0,5,0,1,0,0
48,f87be219,1.0,,,,1.0,5,0,1,0,0
49,49c19e32,3.0,7.0,2.3333333333333335,,,5,0,1,0,0
50,eb6c498c,11.0,1.0,0.09090909090909091,,,5,1,0,0,0
