"person","origen_usuario"
"4886f805",3
"ad93850f",3
"0297fc1e",3
"2d681dd8",3
"cccea85e",3
"4c8a8b93",3
"1b9f7cf6",3
"29ebb414",3
"de8fe91b",3
"45baf068",3
"99abca5a",3
"3dc1950f",1
"8ea4c165",3
"64f45e8d",0
"d8cfe234",3
"ade6b3bf",1
"d73ae9ef",2
"d6bc64df",0
"ec9c4059",3
"b2cde41a",3
"15ea8012",3
"43790d8f",3
"d21b8e6b",3
"2a724d87",3
"429c8732",3
"686c49c9",3
"4e03ed9a",1
"a08d42ea",3
"16fad36a",3
"be32e904",3
"6e6770c3",3
"9bb3af27",3
"c98f5cf1",3
"ba3e8a89",3
"d614c608",3
"2e225ac4",1
"fc278339",3
"e45acd53",3
"7d876393",3
"f5af843f",3
"8f1679ff",0
"5a724794",3
"c31d0174",3
"584f5175",1
"00091926",2
"911a21cb",4
"16d0e27d",3
"55d1e0ee",2
"f87be219",2
"49c19e32",3
"eb6c498c",3
"bb78c182",4
"e2bfe05f",4
"e6c21c98",3
"83f6fb70",3
"0e9d0ae2",3
"cb68850c",2
"f30ef764",3
"ca5fa859",2
"4f06f2dd",3
"872d9b83",3
"dca7e4fa",3
"18489dd5",3
"f389e5ef",1
"566b70c7",3
"3cb2bfc5",2
"0ec008ff",3
"19876c5b",3
"47710d5d",2
"36606944",2
"3c36c384",3
"25ec69e5",2
"02a9fd4c",0
"77edab49",1
"e9c847d7",3
"cf26e7dd",1
"8f7d334b",1
"fd683087",0
"aa5593bc",3
"2f628db1",3
"e39a4b4f",3
"b6ff254a",3
"8aeb37ef",3
"4030bc9c",3
"78c4ca18",1
"0204dcec",3
"99c11fb0",2
"d383e068",3
"c76b8417",2
"5cc1dc20",3
"17c183c9",3
"b51c3897",3
"49013e40",3
"18ad1f7c",3
"ea679233",4
"1b373281",3
"39df97e0",3
"d471ab7a",1
"4473cb91",2
"a90bb821",2
"66f3c5a8",1
"dedf1377",3
"6972936f",3
"f484e20b",3
"78a17666",3
"bb5c496a",3
"fa15dd75",3
"8036d563",3
"051b11a7",1
"a708f6b7",3
"aa86dd13",3
"8af64425",3
"290a4ade",3
"5ea8fd22",4
"73f02c61",3
"e6b2354d",4
"b364ac0f",3
"27c4deeb",3
"575ad645",2
"380c0e60",3
"6b90483e",3
"cd9179bb",1
"1a8f3e6d",1
"d95f3759",1
"df151fff",3
"68939997",1
"a6c7358d",3
"75aea7ed",1
"57a26b97",3
"68bee360",3
"e6b78c34",4
"e4d9f5e2",3
"7363f782",3
"5f5a1be2",3
"2fa65383",1
"f2ab91ec",3
"f7e13865",3
"f70a331b",3
"49fffa02",1
"69fe770b",2
"73b5ddeb",3
"26855b91",2
"fadfa4be",3
"85b68a3f",3
"3aae4375",2
"10206a98",1
"66fe40df",3
"2beddf66",3
"b2194067",1
"b3cab894",3
"17b858f9",3
"f75b14e8",1
"67ec6a13",3
"448ec8f9",3
"83e7b706",3
"7f198108",3
"65db54a5",3
"adaa9274",3
"2466dcee",3
"bbac557c",3
"571a9f5c",3
"13587a1e",3
"feeb5b65",1
"57d078f9",2
"6791adff",1
"2596d1cf",3
"0b54d2aa",2
"c0d67259",1
"2fca45c7",3
"eb39eec0",1
"3d52f0ca",3
"ee7d1909",2
"9474919f",3
"b87bf3c0",3
"229a0726",1
"e28fa553",4
"e2d69e04",3
"f99328eb",1
"7a98e5bb",3
"99a29f1c",4
"6f4de109",2
"ad8cebac",1
"60d720a3",1
"8f6d708a",1
"8d8b76a6",1
"4157ce5c",3
"3fd161b1",3
"91a293e8",4
"54e0c518",3
"1d389b2e",3
"ad4976a0",3
"dbff7610",2
"c104bc78",3
"b3bf2435",3
"7a1b40b7",3
"8611216e",1
"560e7db4",3
"2454293c",1
"0af42006",1
"82d31364",1
"1a898f43",3
"f1f2d6aa",3
"f16503b1",3
"45a66d74",3
"45599974",1
"b8112306",1
"7e317918",4
"5577775a",3
"dd2ed1b6",1
"0fe5d58d",3
"a30504be",3
"18a1de79",1
"f88200f4",3
"d180a63f",1
"97267956",3
"2fec9bbc",3
"c7fb76e9",1
"05ad382c",2
"4e5d317d",3
"db9e8233",1
"7f721016",3
"b65be4d3",3
"aaed7b2e",3
"f8e37457",2
"9411a009",1
"166bf528",3
"5429fbb6",4
"fe1f24ff",0
"49ff6d6e",1
"1adea052",3
"0fe5b0f4",4
"19c94e0b",1
"2a727bb0",3
"0ff75b46",3
"c7fba740",3
"224613bb",2
"cd7b5c8e",1
"179720f1",2
"ff9a58dd",3
"1070bca3",3
"a5d31df5",1
"4e5c868d",3
"653f68fe",3
"3ebc771d",3
"c4012f15",2
"517bf648",3
"254f8761",3
"043a4def",3
"ef68bea1",1
"c844a662",3
"7f6c85e8",2
"77397f7b",1
"e4aedddc",3
"35ee0cc8",3
"4b66b31e",3
"125b4a32",3
"c1d99fe2",1
"1b2b8210",3
"55fc24ef",3
"77e489c7",3
"62ba2fba",3
"ae4bfc26",1
"22f1d021",3
"774cbcf2",3
"72368746",1
"aca95b2b",3
"a944289b",3
"55e87de8",0
"c56dff49",3
"ba724fb6",2
"b97b9d93",2
"46cacfef",2
"14b6ab24",3
"f1e00012",3
"7025ac12",3
"bada76d3",2
"70a325eb",2
"fb19ca5a",3
"f6cd21a1",3
"ed806b31",0
"91752493",2
"92059fdf",3
"390f09f1",1
"d9fc5677",3
"4d233ac6",3
"46a1efca",3
"d4c8daf6",3
"fd5bc946",3
"23b90f81",4
"89939b0c",3
"eab407a5",3
"d55a7432",3
"629e1a6e",3
"13698a29",3
"84380983",3
"09d0e523",3
"bde00913",3
"32eb13bb",3
"2606c8da",3
"23e6906d",3
"cf75487d",1
"adf0382e",1
"b17d6c59",3
"e349f752",2
"eb08912b",0
"d4e83772",3
"4bfc1a10",3
"9952a8e0",3
"8c31a66a",3
"edc38036",3
"2abe3533",1
"fbd04b25",3
"e5824d72",3
"b30562d4",3
"02298b4a",3
"e4b71e52",3
"ed39978f",1
"5b7a7697",3
"9fea64a8",1
"a4e3e0ba",1
"1033c7f1",4
"a16a0211",3
"2df10e76",3
"ff89d18f",3
"732df811",3
"de1de15e",1
"80c8726f",1
"e5953f4b",3
"619bff69",1
"ed7382a8",3
"3043e183",1
"8ab5791a",1
"3ae2240d",3
"6929face",3
"06077235",3
"6b5088da",3
"685dc7f7",3
"8eb58541",3
"919bcd48",3
"974fc112",3
"9a00037e",4
"65f36887",0
"d67a6656",3
"efdfb24e",3
"55f7ae64",3
"1498b979",3
"9d279147",3
"8f358327",1
"fed81014",3
"8637463a",1
"92441fa1",1
"455bfbc9",3
"fd5e4491",3
"e9c994b8",3
"e4594222",1
"94042208",3
"d76e28a3",1
"a7b6e286",2
"27038bac",3
"60591a7d",3
"3887b35e",1
"5423158b",3
"991360db",1
"c5a0bc36",3
"11eb4374",3
"7d71558b",3
"3787229d",1
"2287c9f7",1
"0c9d90d6",3
"41bfa3b9",3
"4ed8ab82",3
"d8ca7115",3
"dccd2a57",4
"0885e75e",3
"b00a6f27",2
"8a4b69ec",4
"6ea9ffd2",1
"d0c5aa85",1
"fc4b841d",3
"db1a3c00",3
"cbff6e32",3
"9b4f540a",3
"2a072244",1
"fcb5fb33",3
"72ee021f",1
"050c6066",3
"9d84519b",1
"7ac0c607",1
"af95a93c",3
"12eb49ed",1
"a8ca0988",4
"6f1e155b",3
"e8a1b038",1
"701aed49",3
"3e97d5f3",3
"ad9c339a",3
"bb31d716",3
"b86b400e",3
"10a42267",3
"fd12b306",3
"852abc08",3
"4640420b",2
"ad4b1e5f",2
"2ff5b818",3
"bd608de6",1
"ea23791b",3
"94e7818d",3
"bf15584a",3
"4a3c0db7",3
"5f7f0c55",1
"9e776b51",3
"d793a520",3
"03c58152",3
"900f049c",1
"67ad5c84",3
"9df0e397",3
"03302054",3
"6ecc4591",3
"000e4d9e",3
"67734512",3
"0b994061",3
"b31761cc",2
"cc302ed6",4
"1660fa42",3
"ea76aeec",0
"ad5943a9",1
"f431031a",3
"5dd73565",1
"ee8dd67c",2
"eb199e7f",3
"656072a3",3
"95a388b0",3
"846372d4",1
"d1fd6caa",3
"a618c138",3
"8a0a63af",3
"7642405a",3
"670639bc",3
"ae5b92db",3
"41ccd2c6",1
"8cf7b63c",3
"bdd23ab2",3
"ae56f702",2
"b02fa0dd",3
"eb7165bb",3
"811ec67b",4
"270b42e3",3
"18b81745",1
"69c23290",3
"e3b71e84",3
"ef8b96c3",1
"bb8116c9",3
"594a53d3",3
"108caf2c",3
"1a1a16f8",1
"18a185e1",2
"335116e1",4
"ff9fc164",1
"6f37c9b4",1
"7c3970ce",3
"8a590d23",1
"c746f37c",3
"166a19f7",3
"ee20c405",3
"02b0cd5c",3
"4679e993",3
"814db0b5",3
"b0f9b8a1",3
"73ffc5f4",3
"fb73da39",3
"c299808f",3
"0515aca9",3
"01f68b1f",1
"6474b347",1
"0aa2b925",1
"f4bae3c6",1
"92c81866",3
"6f0826b2",3
"d1a14d14",1
"1b5c5c85",1
"1e13d639",1
"8e59b22b",3
"f7fdbbf4",4
"1c4a2a14",3
"18351296",3
"3956b1e1",3
"ac89253a",3
"431a7bd7",2
"f426ff31",3
"f2c6d57c",3
"29f80519",1
"04b13fd2",3
"ce36e512",3
"8a4ba4e2",1
"1443cf62",3
"209e9ed6",3
"e77c72ed",2
"860a406a",1
"0c9a1b5d",1
"368ab6c6",3
"4a033e24",0
"143c958f",3
"18b908a5",3
"5125c494",1
"604d8035",3
"80866567",3
"9bb623c2",3
"b17515e1",3
"f945213f",1
"ec4b2ac1",3
"a53a1a30",2
"103e0f7d",3
"cd3a841d",3
"fb6b16a8",3
"89f62393",3
"576d1af6",3
"eab48142",2
"013288eb",3
"aa7e2999",1
"724f4de6",3
"2c85b2fa",3
"75950669",3
"d84ae194",2
"77bad6f5",3
"2b213b2c",1
"2a9694c2",1
"4cdf80c5",3
"8808e6a9",3
"05d6426e",3
"91210479",3
"e314ee77",2
"b5a09122",3
"95c8e975",1
"bf46c410",3
"298bd74f",3
"62cf35c3",1
"42cc8a1d",3
"3346c6e7",3
"47a73972",4
"0744ba92",3
"99375801",3
"b9996281",3
"471fb833",3
"ba83de34",1
"ad98de5d",3
"c449fd13",3
"b059104a",3
"c380ceab",1
"ba61790b",3
"deb5fa7a",3
"71d5d6e4",1
"eefc3df6",3
"766c271c",3
"97360881",3
"df127511",4
"f7e04556",3
"32131fa2",1
"36ef2e5f",3
"abe38822",4
"b84057ab",3
"1d417563",3
"0e3c91a6",3
"6a0aa84a",3
"7b2b0da5",1
"efae8f71",3
"31c9f140",3
"a47ab63d",2
"aefc81ce",3
"1fea3435",1
"c28b49d1",3
"ea3c7b75",3
"54d47ad8",1
"db9d2cd7",3
"df80a783",1
"9bc43f7e",1
"3e066076",3
"cdcc4b92",1
"05596145",1
"67bdc946",1
"32234ad9",3
"77b15b7d",3
"2e515d51",1
"6faabdf2",1
"77d64353",4
"37a0837e",3
"303b1701",3
"3dbfcd14",3
"12529b31",3
"5fdd715e",3
"91c02da2",1
"0b4c87e0",1
"fdb438a5",3
"1d762b15",3
"aafb01b8",3
"ce28e8d6",1
"d0c44c5b",2
"a5d74579",3
"9a0373f1",3
"01c0bf0e",3
"dac88f2d",3
"5eb0a22a",3
"9bf77a71",3
"cb0e3cb7",1
"32e355cf",3
"134cc999",1
"5eed4bd7",1
"a008b5c4",3
"3a44e639",3
"2c90f768",3
"fb23d1c3",3
"b189a8b8",3
"a5d3c172",1
"facb2e95",3
"549acb45",3
"583bd9b9",3
"f3135311",4
"883954e0",4
"f5e0b71d",1
"360675d0",4
"cb61f387",3
"017fd805",3
"dbf8ee34",1
"3493d0af",1
"39674437",3
"99e4baf5",2
"de2a1bcb",4
"56b0c4d1",4
"6c5e3983",3
"b5ea45de",0
"8863d7f2",0
"9067fe0c",3
"0518b8f2",3
"e68cc89a",3
"e0848af4",3
"1e663648",3
"811b25fd",3
"cf734779",4
"e918f6bc",3
"24fdfe14",2
"33b6da32",3
"62f88039",3
"d4749650",3
"ed584042",2
"d010170b",0
"f64d2771",1
"27c58569",3
"847b40a8",2
"aea593cd",2
"0d491a97",4
"349d9ae5",3
"a0cf85b8",3
"6775dc29",3
"6d654333",2
"072647a2",1
"daac08c2",3
"a7a651a9",3
"1c340c9b",3
"8ed9e6f4",0
"0f5caeb3",3
"91274e51",1
"d411fd33",3
"078baec6",3
"f3db7ee1",3
"393e3cf5",1
"bfee020e",3
"7aea3adc",3
"5dc80ac6",2
"14442e02",3
"bb62445d",1
"e0158ab4",3
"cd883145",3
"9f562de3",3
"2d1cc146",1
"be8c75e8",3
"ac3ed0b2",1
"a10fe550",3
"5126b888",1
"acc30075",1
"5aea7aa3",1
"3025dc8a",1
"4d35bb5c",4
"d44b69c9",3
"35259134",2
"0d68d38e",3
"08a82be5",3
"5842c17d",2
"b261977e",3
"8aa5e0d6",3
"2136c1f9",0
"9112e797",3
"45228a20",3
"22d002ee",1
"7a3184e8",3
"f33e2cc5",3
"04a15614",3
"ccc5daa4",1
"27d354f3",3
"7f302cb0",4
"e91e1ac2",3
"c0b9e3cb",3
"9df21469",0
"baf3e801",3
"66b1e1fc",3
"fdfa8de9",3
"cdd8bff0",1
"019ac712",3
"c96353d2",1
"7c10a58f",2
"2fb5ba97",3
"b1bd9401",2
"33fd8777",3
"57fda37b",3
"d4eeaa42",3
"8d4871e5",1
"b6188220",3
"d8c206b4",3
"50ddf0e6",3
"4540ea89",3
"84a42761",3
"8e96b9f3",3
