,person,cant_accesos_north,cant_accesos_center_west,cant_accesos_southeast,cant_accesos_south,cant_accesos_northeast
0,4886f805,0,0,1,0,0
1,ad93850f,0,0,5,0,0
2,0297fc1e,0,0,95,0,0
3,2d681dd8,0,0,2,0,0
4,cccea85e,0,0,22,0,0
5,4c8a8b93,0,0,20,0,0
6,1b9f7cf6,0,0,0,0,0
7,29ebb414,0,0,4,0,0
8,de8fe91b,0,0,2,0,0
9,45baf068,0,0,0,0,0
10,99abca5a,0,0,54,0,0
11,3dc1950f,0,0,3,0,25
12,8ea4c165,0,0,7,0,0
13,64f45e8d,3,0,0,0,0
14,d8cfe234,0,0,0,0,0
15,ade6b3bf,0,0,0,0,13
16,d73ae9ef,0,0,0,1,0
17,d6bc64df,5,0,0,0,2
18,ec9c4059,0,0,6,0,0
19,b2cde41a,0,0,0,0,0
20,15ea8012,0,0,3,0,0
21,43790d8f,0,0,2,0,0
22,d21b8e6b,0,0,0,0,0
23,2a724d87,0,0,0,0,0
24,429c8732,0,0,56,0,0
25,686c49c9,0,0,5,0,0
26,4e03ed9a,0,0,0,0,3
27,a08d42ea,0,0,5,0,0
28,16fad36a,0,0,54,0,0
29,be32e904,0,0,0,0,0
30,6e6770c3,0,0,0,0,0
31,9bb3af27,0,0,4,0,0
32,c98f5cf1,0,0,39,0,0
33,ba3e8a89,0,0,8,0,0
34,d614c608,0,0,3,0,0
35,2e225ac4,0,0,0,0,3
36,fc278339,0,0,65,0,0
37,e45acd53,0,0,58,0,0
38,7d876393,0,0,18,0,0
39,f5af843f,0,0,9,0,0
40,8f1679ff,12,0,0,0,0
41,5a724794,0,0,27,0,0
42,c31d0174,0,0,38,0,0
43,584f5175,0,0,0,0,15
44,00091926,0,0,0,34,0
45,911a21cb,0,1,0,0,0
46,16d0e27d,0,0,17,0,0
47,55d1e0ee,0,0,0,11,0
48,f87be219,0,0,0,1,0
49,49c19e32,0,0,6,0,0
50,eb6c498c,0,0,101,0,0
51,bb78c182,0,1,0,0,0
52,e2bfe05f,0,1,0,0,0
53,e6c21c98,0,0,4,0,0
54,83f6fb70,0,0,18,0,0
55,0e9d0ae2,0,0,0,0,0
56,cb68850c,0,0,0,3,0
57,f30ef764,0,0,2,0,0
58,ca5fa859,0,0,0,2,0
59,4f06f2dd,0,0,0,0,0
60,872d9b83,0,0,9,0,0
61,dca7e4fa,0,0,7,0,0
62,18489dd5,0,0,0,0,0
63,f389e5ef,0,0,0,0,1
64,566b70c7,0,0,0,0,0
65,3cb2bfc5,0,0,0,2,0
66,0ec008ff,0,0,3,0,0
67,19876c5b,0,0,34,0,0
68,47710d5d,0,0,0,21,0
69,36606944,0,0,0,4,0
70,3c36c384,0,0,4,0,0
71,25ec69e5,0,0,0,3,0
72,02a9fd4c,6,1,0,0,0
73,77edab49,0,0,0,0,1
74,e9c847d7,0,0,8,0,0
75,cf26e7dd,1,0,0,0,3
76,8f7d334b,0,0,0,0,4
77,fd683087,19,0,0,0,0
78,aa5593bc,0,0,11,0,0
79,2f628db1,0,0,44,0,0
80,e39a4b4f,0,0,4,0,0
81,b6ff254a,0,0,5,0,0
82,8aeb37ef,0,0,0,0,0
83,4030bc9c,0,0,1,0,0
84,78c4ca18,0,0,0,0,2
85,0204dcec,0,0,2,0,0
86,99c11fb0,0,0,0,33,0
87,d383e068,0,0,2,0,0
88,c76b8417,0,0,8,125,0
89,5cc1dc20,0,0,0,0,0
90,17c183c9,0,0,15,0,2
91,b51c3897,0,0,1,0,0
92,49013e40,0,0,0,0,0
93,18ad1f7c,0,0,4,0,0
94,ea679233,0,6,0,0,0
95,1b373281,0,1,48,0,0
96,39df97e0,0,0,8,0,0
97,d471ab7a,0,0,0,0,16
98,4473cb91,0,0,0,3,0
99,a90bb821,0,0,3,12,0
100,66f3c5a8,0,0,1,0,2
101,dedf1377,0,0,5,0,0
102,6972936f,0,0,7,0,0
103,f484e20b,0,0,8,0,0
104,78a17666,0,0,7,0,0
105,bb5c496a,0,0,5,0,0
106,fa15dd75,0,0,74,0,0
107,8036d563,0,0,2,0,0
108,051b11a7,0,0,0,0,8
109,a708f6b7,0,0,6,0,0
110,aa86dd13,0,0,16,0,0
111,8af64425,0,0,68,0,0
112,290a4ade,0,0,9,0,0
113,5ea8fd22,0,2,0,0,0
114,73f02c61,0,0,0,0,0
115,e6b2354d,0,3,1,0,0
116,b364ac0f,0,0,1,0,0
117,27c4deeb,1,2,2,0,0
118,575ad645,0,0,0,29,0
119,380c0e60,0,0,13,0,0
120,6b90483e,0,0,1,0,0
121,cd9179bb,0,0,0,0,11
122,1a8f3e6d,0,0,0,0,4
123,d95f3759,0,0,0,0,6
124,df151fff,0,0,1,0,0
125,68939997,0,0,0,0,7
126,a6c7358d,0,0,12,0,0
127,75aea7ed,0,0,0,0,2
128,57a26b97,0,0,5,0,0
129,68bee360,0,0,18,0,0
130,e6b78c34,0,8,3,3,0
131,e4d9f5e2,0,0,0,0,0
132,7363f782,0,0,3,2,0
