person,label
00091926,0.64644015
00091a7a,0.61253965
000ba417,0.4909082
000e4d9e,0.38923654
000e619d,0.4308397
001001be,0.46354148
0010e89a,0.14990506
0016c4b5,0.1216736
001804a2,0.4133
001a2273,0.1904924
00202cdb,0.26420054
0022965d,0.558517
0027574e,0.5614621
00295d74,0.21454357
002aea56,0.69427794
002ed810,0.5476744
002fb981,0.33574468
00344873,0.17757057
0038a117,0.73027796
003a05bf,0.56109357
003d07ef,0.65416116
003e7507,0.13111766
00408349,0.23541556
0041fec6,0.30784887
0043a48e,0.4176904
00546f4c,0.58494866
00556ee5,0.3201252
0059a996,0.74746305
005af223,0.61312675
005e06ef,0.36656037
0061cbe8,0.5660721
006549da,0.56891865
006bb312,0.17386842
006cabc5,0.7046876
006e1534,0.12766352
006fc943,0.6758125
00750af8,0.6041143
00754f5e,0.17094272
0076b7dc,0.5402216
007743ca,0.14699517
007a0564,0.21661472
0081cd73,0.18485302
0081f590,0.17069012
008287e4,0.6383368
0083c22c,0.13620634
0087d959,0.6995758
0089421c,0.75791323
008a6d00,0.26306173
008b4a48,0.17575295
008f480f,0.69561803
008f739f,0.68408173
009648f0,0.78666496
00970caa,0.1904338
009944e1,0.7382864
009f8292,0.5470035
00a2efc2,0.24827398
00af50bb,0.61333156
00b0fe02,0.14450313
00b1b9d0,0.79815394
00b5303d,0.23575664
00b6642b,0.17564264
00b8bba9,0.488663
00caa482,0.73278105
00cd1373,0.65212655
00cde0db,0.15650424
00d618ba,0.38289785
00d8d869,0.2946213
00dcc618,0.16554862
00e0e219,0.20111538
00e2e06b,0.2624129
00f1575c,0.7093722
00f369ef,0.1820131
00f4620f,0.16912161
00f5c8be,0.7823447
00fd99c6,0.17795552
00ff2c51,0.69643867
010200b5,0.14341514
01022bf3,0.24428079
01039bf1,0.41023114
01094049,0.17301956
010b0b0b,0.7328205
010f9396,0.21795486
01102549,0.120712094
01126aa4,0.12063989
01127f1d,0.13785218
01183209,0.1770034
0121c41e,0.2215089
0126d440,0.12811646
0129072b,0.20098925
012af91b,0.16460747
012b81de,0.39785
012cd55c,0.15076628
012d8fd8,0.746889
0137a57b,0.47403443
013a0e3a,0.78597176
013dc935,0.1577214
013e1cd0,0.17199132
013ef20d,0.15885267
013fce70,0.16952032
0144bd58,0.7832309
0146ecbc,0.18579069
014853d4,0.53578055
015fb139,0.21571314
01638753,0.70798
0163bf88,0.4935833
016419e1,0.20463923
01696aab,0.45790514
016b86b9,0.66498154
016d0c8f,0.6164988
016f3833,0.5301013
01716e05,0.38179824
01798556,0.516752
017a84d1,0.21660005
017d35dc,0.12796317
017fd805,0.45044264
018598e8,0.4712894
018adf26,0.75551754
018c1154,0.20822132
0190f87d,0.5867034
019425a8,0.8268156
0196054a,0.24278373
01984bc3,0.30787683
019ac712,0.121536404
01a20e81,0.24705502
01ab5296,0.1701844
01ac5844,0.22450559
01ad4042,0.6482704
01ada784,0.49224794
01af6573,0.6192881
01b08442,0.22746974
01b09758,0.7121515
01b97cb9,0.4146726
01be1d14,0.17202766
01c3addd,0.78888184
01c862be,0.1340704
01c9f8d2,0.41737905
01caf5bf,0.5378442
01cbe6b3,0.17275968
01cd8ca8,0.33799902
01d18619,0.14321092
01d28bce,0.2348161
01d8711d,0.78993523
01e18191,0.16732799
01f061eb,0.7405387
01f8fa5b,0.311442
01fe7232,0.29741746
01ffa003,0.59442234
0205d5c1,0.511917
020b50dc,0.49765465
021b35b5,0.29720798
021f11c8,0.3840625
02208eb6,0.33721778
0222570f,0.31320292
0225de65,0.2227774
02274195,0.1374522
02285678,0.796206
0228b475,0.2435104
022bd951,0.17214845
022c083c,0.36639604
022ca64b,0.6787214
0233c7ed,0.49018055
0234e8f5,0.2524678
023e49e4,0.759419
023fafbb,0.121044494
0244969f,0.13611725
02452978,0.51861656
0246242b,0.57301563
0247c9fc,0.13570492
024803ab,0.1866253
02496e75,0.72257483
024b9c24,0.61041653
024ceac4,0.15541953
024ffb9b,0.1312357
0256b30a,0.75266826
0256c879,0.15310907
0256dfc5,0.122948185
025e1ccc,0.73482347
02603929,0.222928
026b66ef,0.11683837
0270a59f,0.55128473
027870af,0.73898387
027b809f,0.47315267
027cb5c9,0.18605635
027e9637,0.1318494
0280a93d,0.748951
028d0864,0.69575703
02973cb9,0.17335449
0297fc1e,0.6630442
029889eb,0.5158031
029a5c8b,0.12013572
029e25de,0.13048762
02a14ee3,0.44170743
02a9fd4c,0.46863815
02aa0266,0.12812448
02b10e44,0.73742443
02b13444,0.177744
02b51109,0.4566681
02ba6bb6,0.2216198
02bf0143,0.3858181
02c2eb63,0.17383118
02c66b97,0.13986292
02c73278,0.1483354
02cec30a,0.17324619
02d42846,0.19523071
02d80cb2,0.34117496
02de19f7,0.18577336
02e1a150,0.22807617
02e465f4,0.61576426
02e59a44,0.81067514
02e65ce8,0.54855907
02e7d329,0.20035176
02ecd2d2,0.26725334
02eefc32,0.18500881
02f0635f,0.7276088
02f2b7b1,0.16927387
02f5c581,0.21190347
02f792fc,0.22363253
02fb0b61,0.19031958
030071f1,0.35584274
03042e4a,0.19692783
030c5d84,0.12620041
030c803c,0.3158742
03100f48,0.4169722
0311c318,0.5225612
0318fd8d,0.8252283
031bee81,0.20844407
03264a2e,0.24625778
032c90dd,0.12701108
032ecde2,0.18690501
03302054,0.74980503
0337d5ce,0.5407174
0338a1ea,0.34829897
03413393,0.19594423
03439225,0.7088053
034ab8b8,0.22760114
034e4f2f,0.5552004
034fbc8a,0.12532909
03533e4f,0.27607697
035626f1,0.18855613
035be698,0.33016497
035c9c3c,0.5786201
03665977,0.18752521
03739332,0.13348815
037a2f9e,0.42473432
037f094d,0.4090248
037f3cec,0.61366403
0382adc4,0.57028973
0384b2bd,0.12983845
0384dbbf,0.11207105
038e3cd5,0.11672753
039a1fa7,0.61658734
039c02c5,0.16019584
039ccd71,0.30342704
039d87dc,0.47473863
039fe371,0.17623426
03a0d815,0.19879062
03a1b4d1,0.7645417
03aa060a,0.22698355
03aa82cb,0.16025871
03ab59d3,0.31343722
03ae1796,0.55308527
03b999c7,0.67872304
03bb6dc9,0.19406386
03c6dbf0,0.23840359
03c72157,0.44387218
03d242c6,0.43573707
03d269f6,0.5230394
03d5db8f,0.13240264
03da16b8,0.16340968
03db8124,0.77809614
03e50576,0.26937807
03eb4dd6,0.15032731
03f1562e,0.6479949
03fb9fde,0.16216558
0401277e,0.1255994
04014a58,0.1486711
04068dcd,0.7389544
0408f3f4,0.5987752
040ad2f1,0.16353084
040f38ba,0.5854495
0411efc6,0.4382415
0413b563,0.116437316
04145809,0.67966455
0415c30d,0.28881595
041b49c5,0.16380629
041d7e7c,0.12749162
041dc1c0,0.40428212
041e67c8,0.46931282
042467f9,0.20235568
04247184,0.5608224
042481ae,0.27703217
